b,g,r,class
40.60581527644149,145.2186362488978,454.8179872617059,Castor Aralia
43.006188431422046,177.94223511581964,458.7623062864954,Castor Aralia
46.465904876590855,174.4527807955603,583.6920683953099,Castor Aralia
42.56465239913405,143.82488223884744,656.1373825323697,Castor Aralia
45.38990648351594,155.10561832942665,684.6981781168492,Castor Aralia
42.35012942191538,157.56571135414956,642.9471818669402,Castor Aralia
42.569956407729634,169.77049337764933,550.7437868488303,Castor Aralia
14.669954850184714,183.29373375290731,621.8809641081773,Castor Aralia
49.87675446172358,246.18416903009395,749.4191930729758,Castor Aralia
38.938081432924015,165.74504662542722,465.4853106823006,Castor Aralia
42.10894487756024,161.61397796673413,501.6268601614205,Castor Aralia
47.34870469364976,183.6675086647477,602.3390435564551,Castor Aralia
42.96046272997059,151.5994158396028,566.5683259035969,Castor Aralia
38.81880353204322,162.68630125242575,494.8678016693812,Castor Aralia
48.24912385486296,215.1301130424856,558.4515111856729,Castor Aralia
43.28316520002594,176.3222671509311,470.3638158320973,Castor Aralia
39.278094948016715,162.74799514153804,459.2916117241964,Castor Aralia
23.682638756597434,149.64123682844186,471.88322743792895,Castor Aralia
31.970461809254726,170.1085043309095,638.8510352494333,Castor Aralia
41.30327939878997,167.50777508192596,500.5139707272501,Castor Aralia
43.89755818540433,168.4086548323472,502.68597238658776,Castor Aralia
31.637570104492546,143.47852490308367,508.08481807269203,Castor Aralia
38.220435362750514,137.9189474337493,496.8158552100789,Castor Aralia
44.371467074592104,229.88345508658,701.0714910089908,Castor Aralia
29.22060122646768,162.65634032334145,571.8479994853981,Castor Aralia
38.860524984827,257.6832338660734,635.8260722233456,Castor Aralia
40.429982514305564,165.16002842939704,523.0109033198593,Castor Aralia
31.497880810532525,204.16376599735213,599.9851013165643,Castor Aralia
39.15341671629942,169.96288663887233,510.96750446694443,Castor Aralia
34.422464393070335,170.25818268594713,547.8287183179959,Castor Aralia
16.601910287109234,136.63470754556744,395.5308473402181,Castor Aralia
16.954979575192624,163.42699651597863,437.0215014916194,Castor Aralia
40.19668810090138,182.64568685679427,661.9105768176596,Castor Aralia
42.07426838539363,168.22036156757264,554.4301593136236,Castor Aralia
43.839971362749196,160.2284300707131,517.3257047323458,Castor Aralia
22.364733130031368,167.41629691722915,441.03152144065,Castor Aralia
12.903241664603147,146.48288130161822,456.348171237965,Castor Aralia
25.9821890027102,165.69924106762178,460.52302564501844,Castor Aralia
36.575158452693614,143.09299315511737,411.59578555212744,Castor Aralia
19.419955412497018,243.22318800646272,885.7212153851937,Castor Aralia
29.27211886265469,161.69664306100353,484.0938248805724,Castor Aralia
39.78949334270774,198.04577712352275,778.9266159862907,Castor Aralia
18.816497728067105,183.5454344967628,527.0202934371936,Castor Aralia
31.289413060094418,207.43154327619465,748.0945432387786,Castor Aralia
25.824651280512935,194.60076305823253,635.4804079643033,Castor Aralia
41.07646874220468,167.3099345795146,523.9639986159503,Castor Aralia
21.584875774653156,196.4324165434085,441.89762408492635,Castor Aralia
44.45272569690974,203.57150761667387,667.8048848562601,Castor Aralia
44.78155487383575,161.33500736336313,501.6840742100677,Castor Aralia
41.561216501302084,155.29840623660863,540.5216031578599,Castor Aralia
43.61543931457907,153.42984928370737,581.0000910541473,Castor Aralia
43.299318212009915,153.27823035092146,573.7840476180272,Castor Aralia
38.72609008055062,247.34766100669356,1142.3670385357175,Japanese Maple
59.333678600350254,350.5229571178365,1414.4070792293626,Japanese Maple
44.963335973746766,120.52972251835892,896.3114238578233,Japanese Maple
43.948229541844604,133.91171568082729,1002.2978958446357,Japanese Maple
28.88345343764559,159.3646935676124,899.2047460867782,Japanese Maple
32.25792068462992,119.31052680537037,946.764856903663,Japanese Maple
30.241742943653595,122.32918247311456,1090.8668012389933,Japanese Maple
29.849339806587523,128.86896894670036,1008.2357459727551,Japanese Maple
28.85917007695856,130.96355992569528,1092.8676201516814,Japanese Maple
31.106318766489704,148.08524988453235,960.339455752184,Japanese Maple
46.30931961120643,149.5940180102915,888.2340087192686,Japanese Maple
36.15950537555496,125.06069056617609,1162.1073569882228,Japanese Maple
52.56897380764447,395.489670939822,1304.9961986155345,Japanese Maple
40.04850151036892,140.9961714693005,1050.7990360791512,Japanese Maple
33.90384588053038,144.20979662028665,1106.5564304088912,Japanese Maple
26.738384763365033,150.71019585294366,1103.5047596737438,Japanese Maple
39.3315270214494,133.8254556832253,1025.621579879373,Japanese Maple
18.64553325339854,126.15767919151648,1253.9295457730577,Japanese Maple
17.997875645796437,98.48719245637484,1140.7903753748333,Japanese Maple
14.982291538312595,95.3372352972241,1449.5812811350318,Japanese Maple
20.184842396260827,140.70191375968994,1113.1128947218422,Japanese Maple
17.55989384902387,170.09353022062245,1409.933173931702,Japanese Maple
19.933727358323495,88.94082167261746,1555.1384836252782,Japanese Maple
32.62081694726758,180.6663473198314,1018.5813496981838,Japanese Maple
26.73915386107455,126.5674906786784,1129.0919344526112,Japanese Maple
28.93379840740488,128.5938882461037,1062.0130810590074,Japanese Maple
15.405806667029026,123.02706102513531,1238.9469262247337,Japanese Maple
21.97940394460099,120.49839279336479,1277.8052462399303,Japanese Maple
44.82422203532379,129.82955872476114,911.7853525421884,Japanese Maple
23.485409805505494,148.31838687628164,935.4477723233698,Japanese Maple
20.951872824675654,157.43121338090373,783.8778872486445,Japanese Maple
29.558329827638314,175.85132100513687,867.8587985044996,Japanese Maple
39.22967479674799,239.732362701178,1257.9577484652382,Japanese Maple
51.57181445422576,197.7466397196476,959.6726779248204,Japanese Maple
48.72189703520193,153.45821785412883,783.7987422068559,Japanese Maple
17.861641486699398,153.3968277875614,846.8427912688863,Japanese Maple
46.21391961534937,207.37685328144485,1055.6760220807505,Japanese Maple
41.98578759907412,130.29985741417428,856.8161681935466,Japanese Maple
32.38477852389567,134.08557798386957,714.2804759481941,Japanese Maple
47.665825927213085,143.89206593515718,698.9545007695745,Japanese Maple
35.80312843938399,140.68680055711943,682.6007392545117,Japanese Maple
28.034274384656705,220.58380991500542,1200.7049669815794,Japanese Maple
37.080527580907514,154.49609042957448,828.2296541901926,Japanese Maple
38.805387425704694,161.9883551144799,897.7532520251306,Japanese Maple
25.09853849730951,180.08333886932857,1001.5687902743628,Japanese Maple
44.575596970786364,166.8823338397484,856.6811033666958,Japanese Maple
20.667049641928045,171.2721823041619,871.1882809570011,Japanese Maple
27.396288331253324,151.81645012479922,812.2263103940096,Japanese Maple
17.132731790244527,64.11821060830904,857.41230149931,Japanese Maple
38.82568628448379,209.64172474015336,1325.301083473218,Japanese Maple
31.977437367944425,140.509313059664,951.8703969212198,Japanese Maple
27.565489673550974,167.79271074185823,1229.6206764118042,Japanese Maple
50.677797621053344,214.49682919432558,1004.2231357617007,Japanese Maple
46.49589291966283,146.68775416767676,780.0137782445938,Japanese Maple
46.84452065624541,146.65839362728775,793.5696783656028,Japanese Maple
21.71393110756596,110.80191553448961,851.5457833476357,Japanese Maple
